year,type,ranch_acres,approved_management,grasslands_conserved,grasslands_protected,prairie_dog,friendly_fence,sage_grouse,discounts
2003,grassbank,236000,,2165,,"2,981",,0,20889
2003,matador,60168,,23379,,924,,13253,
2004,grassbank,166481,,56714,,3620,,0,29450
2004,matador,60168,,23379,,924,,13253,
2005,grassbank,287797,,70039,17484,3835,,24554,50807.44
2005,matador,60168,,23379,22585.38,924,,13253,
2006,grassbank,262466,,58103,17483.5,2539.4,,42862,72116
2006,matador,60168,,23379,22585,924,,13253,
2007,grassbank,287797,,68310.5,17484,1952.4,,44324,58981.35
2007,matador,60168,,23379,22585.38,924,,13253,
2008,grassbank,260754,,54183.6,17484,1591.5,,31041,50222.13
2008,matador,60168,,23379,22585.38,924,,13253,
2009,grassbank,260724,,54184.6,17484,1830.4,,28458,55597.69
2009,matador,60168,,23379,22585.38,924,,13253,
2010,grassbank,225960,,56151,18154,3348,,51983,53091
2010,matador,60168,,23379,22585.38,924,,13253,
2011,grassbank,202743,,50033.5,19221,4272,,64435,60158
2011,matador,60168,,23379,22585.38,924,,13253,
2012,grassbank,201304,106047,47011,19221,3272,12.99,52739,69828.11
2012,matador,60168,31087,23379,22585.38,924,7.44,13253,
2013,grassbank,210572,114830,49776,19220.5,1942,12.99,54996,61812.78
2013,matador,60168,31087,23379,22585.38,924,7.44,13253,
2014,grassbank,178458,92716,37045,19220.5,1225,12.99,44826,50644.63
2014,matador,60168,31087,23379,22585,924,7.44,13253,
2015,grassbank,255687,110570,58234,18550.5,2931,11.49,66950,62253.76
2015,matador,60168,31087,23379,22585,924,7.44,13253,
2016,grassbank,255687,110570,58399,18550.5,3604,11.49,66950,66553.19
2016,matador,60168,31087,23379,22585,924,7.44,13253,
2017,grassbank,281536,117895,59640,24283.5,4175,11.49,72989,70546.42
2017,matador,60168,31087,23379,22585,924,7.44,13253,
2018,grassbank,294670,124240,60792,27356,4271,11.49,78402,70861.72
2018,matador,60168,31087,23379,22585,924,7.44,13253,
