"","landowner","ccaa","ranch_acres","mgmt_acres","conserved_acres","protected_acres","pd_acres,","sg_acres","fence_miles","discount","aum_acres","workshop","year"
"1","S","No",10090,3971,2127,1067,0,2314,1.7,4024.13,1246.19,0,2018
"2","N","Yes",28215,11958,311,7976,0,8244,6.27,4049.79,849.54,2018,2018
"3","A","No",10145,5123,5123,0,136,4269,0,5337.2,921.84,2015,2018
"4","AA","No",23128,13224,2806,0,222,4006,0,5390.02,657.24,2015,2018
"5","H","In Progress",35163,11449,1049,3095,0,7091,0,4014.16,719.24,2015,2018
"6","J","In Progress",23157,6403,4004,0,578,5147,0,8012.02,913.37,2015,2018
"7","O","No",22512,0,7736,0,195,0,0,4820.24,480.92,0,2018
"8","K","Yes",46450,20875,6991,6412,1102,13188,0.27,5388.11,414.47,2018,2018
"9","L","No",9830,9830,6772,0,338,1784,3.25,7039.62,573.41,2015,2018
"10","CC","No",41133,22745,16590,0,1507,18862,0,6250.27,480.79,0,2018
"11","Z","In Progress",21512,5660,4301,0,0,5066,0,4033.43,564.89,2015,2018
"12","DD","In Progress",7379,4266,955,3073,49,3620,0,2119.89,345.39,2018,2018
"13","D","No",14406,7186,1241,5733,144,4811,0,3585.77,483.7,0,2018
"14","T","No",1550,1550,786,0,0,0,0,1732.06,631.33,2015,2018
"15","V","0",0,0,0,0,0,0,0,1614.7,807.35,2015,2018
"16","W","0",0,0,0,0,0,0,0,883.19,441.6,0,2018
"17","X","0",0,0,0,0,0,0,0,961.84,480.92,0,2018
"18","BB","0",0,0,0,0,0,0,0,1605.28,802.64,2015,2018
"19","S","No",10128,3955,2127,1067,0,2352,1.7,4147.93,1303.82,0,2017
"20","N","In Progress",28215,11958,314,7976,0,8244,6.27,4095.75,871.94,2015,2017
"21","A","No",10145,5123,4214,0,146,4269,0,5310.58,921.84,2015,2017
"22","AA","No",17335,11161,2938,0,190,3514,0,4756.01,504.73,2015,2017
"23","H","No",35163,11449,1361,3095.5,0,7091,0,4204.97,814.65,2015,2017
"24","J","No",23157,6403,4004,0,561,5147,0,7972.51,941.62,2015,2017
"25","O","No",22512,0,7736,0,195,0,0,4888.66,515.13,0,2017
"26","K","In Progress",46450,20875,6831,6412,1099,13188,0.27,5105.62,392.74,2015,2017
"27","L","No",9830,9830,6763,0,338,77,3.25,7959.88,1142.03,2015,2017
"28","CC","No",41133,22745,16590,0,1488,18862,0,6756.62,519.74,0,2017
"29","Z","In Progress",21512,5660,4735,0,14,5434,0,4455.86,652.3,2015,2017
"30","C","No",0,0,0,0,0,0,0,1005.26,502.63,0,2017
"31","D","No",14406,7186,1241,5733,144,4811,0,3370.65,520.14,0,2017
"32","T","No",1550,1550,786,0,0,0,0,1794.73,662.66,2015,2017
"33","V","0",0,0,0,0,0,0,0,1690.22,845.11,2015,2017
"34","W","0",0,0,0,0,0,0,0,867.96,433.98,0,2017
"35","X","0",0,0,0,0,0,0,0,493.16,246.58,0,2017
"36","BB","0",0,0,0,0,0,0,0,1176.89,588.44,2015,2017
"37","Y","0",0,0,0,0,0,0,0,493.16,246.58,0,2017
"38","0","0",0,0,0,0,0,0,0,0,0,0,2017
"39","S","0",10128,3955,2127,1067,0,2352,1.7,4013.75,1236.72,0,2016
"40","N","0",28215,11958,314,7976,0,8244,6.27,4177.5,912.8,2015,2016
"41","A","0",10145,5123,4214,0,129,3809,0,5131.67,864.82,2015,2016
"42","AA","0",17335,11161,2938,0,162,4514,0,3494.28,451.41,2015,2016
"43","H","0",35163,11449,1361,3095.5,0,6187,0,4170.81,854.07,2015,2016
"44","J","0",23157,6403,4004,0,503,5147,0,7298.53,774.63,2015,2016
"45","O","0",22512,0,7736,0,183,0,0,4840.41,512.01,0,2016
"46","K","0",35007,20736,6831,6412,933,13344,0.27,5149.04,396.08,2015,2016
"47","L","0",9830,9830,6763,0,306,77,3.25,7962.56,1243.18,2015,2016
"48","CC","0",41133,22745,16590,0,1378,17842,0,6775.34,521.18,0,2016
"49","Z","0",21512,5660,4735,0,10,5434,0,4429.56,643.16,2015,2016
"50","C","0",0,0,0,0,0,0,0,905.26,452.63,0,2016
"51","T","0",1550,1550,786,0,0,0,0,1948.36,739.48,2015,2016
"52","V","0",0,0,0,0,0,0,0,3114.13,1557.07,2015,2016
"53","W","0",0,0,0,0,0,0,0,1365.67,682.84,0,2016
"54","X","0",0,0,0,0,0,0,0,512.01,256,0,2016
"55","BB","0",0,0,0,0,0,0,0,752.3,376.15,2015,2016
"56","Y","0",0,0,0,0,0,0,0,512.01,256,0,2016
"57","S","0",10128,3955,2127,1067,0,2352,1.7,2504.47,482.09,0,2015
"58","N","0",28215,11958,314,7976,0,8244,6.27,4149.29,898.7,2015,2015
"59","A","0",10145,5123,4214,0,115,3809,0,5069.3,880.64,2015,2015
"60","AA","0",17335,11161,2938,0,102,4514,0,3358.69,503.62,2015,2015
"61","H","0",35163,11449,1361,3095.5,0,6187,0,4776.02,503.62,2015,2015
"62","J","0",23157,6403,4004,0,405,5147,0,6682.86,738.79,2015,2015
"63","O","0",22512,0,7736,0,156,0,0,5671.65,490.63,0,2015
